State,Abbreviation,Season Type,Zone,Split 1 Open,Split 1 Close,Split 2 Open,Split 2 Close,Split 3 Open,Split 3 Close,Bag Limit,Flyway,Weapon,Notes,Source URL,Verified,Season Year
New Hampshire,NH,regular,Statewide,2025-09-01,2025-11-20,,,,,,,,Daily 15 possession 45; sunrise to sunset,https://www.wildlife.nh.gov/hunting-nh/dates-and-seasons,FALSE,2025-2026
New Jersey,NJ,regular,Statewide,2025-09-01,2025-11-20,,,,,,,,Non-toxic shot required,https://dep.nj.gov/njfw/,FALSE,2025-2026
New Mexico,NM,regular,North Zone,2025-09-01,2025-10-15,,,,,,,,Daily 15 possession 45; approx dates check migratory bird supplement,https://wildlife.dgf.nm.gov/hunting/hunting-calendar/,FALSE,2025-2026
New Mexico,NM,regular,South Zone,2025-09-01,2026-01-15,,,,,,,,Daily 15 possession 45; extended south zone season,https://wildlife.dgf.nm.gov/hunting/hunting-calendar/,FALSE,2025-2026
North Carolina,NC,regular,Statewide,2025-09-06,2025-10-04,2025-11-08,2025-11-29,2025-12-15,2026-01-31,15,,,Daily 15 possession 45,https://www.ncwildlife.gov/2025-2026-season-dates,TRUE,2025-2026
North Dakota,ND,regular,Statewide,2025-09-01,2026-01-15,,,,,,,,Daily 15 possession 45; sunrise to sunset,https://gf.nd.gov/hunting/season-dates,FALSE,2025-2026
Ohio,OH,regular,Statewide,2025-09-01,2025-11-09,2025-12-13,2026-01-01,,,15,,,Daily 15 possession 45,https://www.eregulations.com/ohio/hunting/hunting-seasons-and-dates,FALSE,2025-2026
Oklahoma,OK,regular,Central Zone,2025-09-01,2025-11-14,2025-12-19,2026-01-10,,,15,,,Daily 15 aggregate mourning and white-winged; possession 45,https://www.eregulations.com/oklahoma/hunting/migratory-game-bird-season-dates-limits,FALSE,2025-2026
Oklahoma,OK,regular,High Plains Zone,2025-09-01,2025-11-09,2025-12-19,2026-01-05,,,15,,,Daily 15 aggregate; possession 45,https://www.eregulations.com/oklahoma/hunting/migratory-game-bird-season-dates-limits,FALSE,2025-2026
Oregon,OR,regular,Zone 1,2025-09-01,2025-09-30,2025-11-15,2025-12-14,,,15,,,Daily 15 possession 45,https://www.eregulations.com/oregon/hunting/game-bird/migratory-game-bird-seasons,FALSE,2025-2026
Oregon,OR,regular,Zone 2,2025-09-01,2025-10-30,,,,,,,,Daily 15 possession 45,https://www.eregulations.com/oregon/hunting/game-bird/migratory-game-bird-seasons,FALSE,2025-2026
Pennsylvania,PA,regular,Statewide,2025-09-01,2025-11-28,2025-12-20,2026-01-03,,,15,,,Daily 15 possession 45,https://www.pa.gov/agencies/pgc/huntingandtrapping/regulations/seasons-and-bag-limits,FALSE,2025-2026
Rhode Island,RI,regular,Statewide,2025-09-01,2025-11-20,,,,,,,,Daily 15 possession 45; half hour before sunrise to sunset,https://www.eregulations.com/rhodeisland/hunting/hunting-season-summary,FALSE,2025-2026
South Carolina,SC,regular,Statewide,2025-09-01,2025-10-04,2025-11-15,2025-11-29,2025-12-22,2026-01-31,15,,,Daily 15 possession 30,https://www.dnr.sc.gov/hunting/SCMigratoryBirdSeasons.pdf,FALSE,2025-2026
South Dakota,SD,regular,Statewide,2025-09-01,2025-11-09,2025-12-01,2026-01-15,,,15,,,Daily 15 possession 45,https://gfp.sd.gov/events/keydates/,FALSE,2025-2026
Tennessee,TN,regular,Statewide,2025-09-01,2025-09-28,2025-10-11,2025-11-02,2025-12-08,2026-01-15,15,,,Daily 15 mourning doves,https://www.tn.gov/twra/news/2025/8/28/dove-season-opens-across-tennessee-on-labor-day--september-1.html,TRUE,2025-2026
Texas,TX,regular,North Zone,2025-09-01,2025-11-09,2025-12-19,2026-01-07,,,15,,,Daily 15 possession 45,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/dove,TRUE,2025-2026
Texas,TX,regular,Central Zone,2025-09-01,2025-10-26,2025-12-12,2026-01-14,,,15,,,Daily 15 possession 45,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/dove,TRUE,2025-2026
Texas,TX,regular,South Zone,2025-09-14,2025-10-26,2025-12-12,2026-01-22,,,15,,,Daily 15 possession 45,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/dove,TRUE,2025-2026
Texas,TX,special-white-wing,South Zone,2025-09-05,2025-09-07,2025-09-12,2025-09-13,,,15,,,Noon to sunset shooting hours only; South Zone special white-winged dove days,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/dove,TRUE,2025-2026
Utah,UT,regular,Statewide,2025-09-01,2025-10-30,,,,,,,,Daily 15 combined mourning and white-winged; possession 45,https://www.eregulations.com/utah/hunting/hunting-seasons-and-dates,FALSE,2025-2026
Virginia,VA,regular,Statewide,2025-09-01,2025-10-25,2025-11-15,2025-11-30,2025-12-26,2026-01-10,15,,,Daily 15 possession 45,https://dwr.virginia.gov/hunting/regulations/,FALSE,2025-2026
Washington,WA,regular,Statewide,2025-09-01,2025-11-30,,,,,,,,Daily 15 possession 45,https://wdfw.wa.gov/hunting/regulations/summary-of-seasons,FALSE,2025-2026
West Virginia,WV,regular,Statewide,2025-09-01,2025-10-12,2025-11-03,2025-11-16,2025-12-08,2026-01-10,15,,,Daily 15 possession 45,https://wvdnr.gov/hunting-seasons/,FALSE,2025-2026
Wisconsin,WI,regular,Statewide,2025-09-01,2025-11-29,,,,,,,,Daily 15 possession 45,https://dnr.wisconsin.gov/topic/hunt/dates,FALSE,2025-2026
Wyoming,WY,regular,Statewide,2025-09-01,2025-11-29,,,,,,,,Daily 15 possession 45,https://www.eregulations.com/wyoming/hunting/hunting-seasons-and-dates,FALSE,2025-2026
