State,Abbreviation,Season Type,Zone,Split 1 Open,Split 1 Close,Split 2 Open,Split 2 Close,Split 3 Open,Split 3 Close,Bag Limit,Flyway,Weapon,Notes,Source URL,Verified,Season Year
Utah,UT,regular,Northern Zone,2025-10-04,2026-01-17,,,,,7,Pacific,,,https://wildlife.utah.gov/news/utah-wildlife-news/2196-what-hunters-should-know-about-the-2025-utah-waterfowl-hunting-season.html,TRUE,2025-2026
Utah,UT,regular,Southern Zone,2025-10-11,2026-01-24,,,,,7,Pacific,,,https://wildlife.utah.gov/news/utah-wildlife-news/2196-what-hunters-should-know-about-the-2025-utah-waterfowl-hunting-season.html,TRUE,2025-2026
Vermont,VT,regular,Lake Champlain Zone,2025-10-11,2025-11-02,2025-11-22,2025-12-28,,,6,Atlantic,,,https://www.vtfishandwildlife.com/press-releases/vermonts-migratory-game-bird-seasons-are-announced-1,TRUE,2025-2026
Vermont,VT,regular,Interior Vermont Zone,2025-10-11,2025-12-09,,,,,6,Atlantic,,,https://www.vtfishandwildlife.com/press-releases/vermonts-migratory-game-bird-seasons-are-announced-1,TRUE,2025-2026
Virginia,VA,regular,Statewide,2025-10-11,2025-10-14,2025-11-15,2025-11-30,2025-12-13,2026-01-31,6,Atlantic,,3-split season,https://dwr.virginia.gov/hunting/regulations/migratory-gamebirds/,TRUE,2025-2026
Washington,WA,regular,Statewide,2025-10-11,2025-10-19,2025-10-22,2026-01-25,,,7,Pacific,,,https://wdfw.wa.gov/publications/02626,TRUE,2025-2026
West Virginia,WV,regular,Statewide,2025-10-04,2025-10-12,2025-11-08,2025-11-16,2025-12-21,2026-01-31,6,Atlantic,,3-split season,https://wvdnr.gov/wvdnr-announces-migratory-game-bird-seasons-and-regulation-changes/,TRUE,2025-2026
Wisconsin,WI,regular,Northern Zone,2025-09-27,2025-11-25,,,,,6,Mississippi,,,https://dnr.wisconsin.gov/newsroom/release/114011,TRUE,2025-2026
Wisconsin,WI,regular,Southern Zone,2025-10-04,2025-10-12,2025-10-18,2025-12-07,,,6,Mississippi,,,https://dnr.wisconsin.gov/newsroom/release/114011,TRUE,2025-2026
Wisconsin,WI,regular,Open Water Zone,2025-10-18,2025-12-16,,,,,6,Mississippi,,Lake Michigan/Lake Superior waters,https://dnr.wisconsin.gov/newsroom/release/114011,TRUE,2025-2026
Wyoming,WY,regular,Statewide,2025-10-01,2026-01-16,,,,,7,Central,,"Multiple zones with varying dates. Dates approximate. Some zones extend to Feb 16.",https://wgfd.wyo.gov/Regulations/Game-Birds-Waterfowl/Late-Migratory-Game-Bird-Hunting-Seasons,FALSE,2025-2026
